DATE,ARGNGDPRPCH
1980-01-01,0.7
1981-01-01,-5.744
1982-01-01,-3.149
1983-01-01,3.733
1984-01-01,2.0
1985-01-01,-6.951
1986-01-01,7.146
1987-01-01,2.529
1988-01-01,-1.957
1989-01-01,-7.007
1990-01-01,-1.338
1991-01-01,10.498
1992-01-01,10.299
1993-01-01,6.251
1994-01-01,5.83
1995-01-01,-2.845
1996-01-01,5.527
1997-01-01,8.111
1998-01-01,3.85
1999-01-01,-3.385
2000-01-01,-0.789
2001-01-01,-4.409
2002-01-01,-10.894
2003-01-01,8.955
2004-01-01,8.911
2005-01-01,8.852
2006-01-01,8.047
2007-01-01,9.008
2008-01-01,4.057
2009-01-01,-5.919
2010-01-01,10.125
2011-01-01,6.004
2012-01-01,-1.026
2013-01-01,2.405
2014-01-01,-2.513
2015-01-01,2.731
2016-01-01,-2.08
2017-01-01,2.819
2018-01-01,-2.565
2019-01-01,-2.088
2020-01-01,-9.956
2021-01-01,5.839
2022-01-01,2.475
2023-01-01,2.06
2024-01-01,1.712
2025-01-01,1.634
2026-01-01,1.534
