DATE,BRABCAGDPBP6
1980-01-01,-8.783
1981-01-01,-7.003
1982-01-01,-9.104
1983-01-01,-4.759
1984-01-01,0.028
1985-01-01,-0.1
1986-01-01,-2.147
1987-01-01,-0.501
1988-01-01,1.304
1989-01-01,0.235
1990-01-01,-0.831
1991-01-01,-0.352
1992-01-01,1.607
1993-01-01,-0.138
1994-01-01,-0.307
1995-01-01,-2.427
1996-01-01,-2.801
1997-01-01,-3.491
1998-01-01,-3.921
1999-01-01,-4.314
2000-01-01,-3.783
2001-01-01,-4.236
2002-01-01,-1.588
2003-01-01,0.674
2004-01-01,1.695
2005-01-01,1.519
2006-01-01,1.176
2007-01-01,0.029
2008-01-01,-1.807
2009-01-01,-1.573
2010-01-01,-3.577
2011-01-01,-2.918
2012-01-01,-3.401
2013-01-01,-3.228
2014-01-01,-4.13
2015-01-01,-3.026
2016-01-01,-1.349
2017-01-01,-0.728
2018-01-01,-2.167
2019-01-01,-2.701
2020-01-01,-0.869
2021-01-01,-0.597
2022-01-01,-0.837
2023-01-01,-1.153
2024-01-01,-1.326
2025-01-01,-1.519
2026-01-01,-1.674
