DATE,NAEXKP01BRQ652S_PCH,Outcome
4/1/96 12:00 AM,1.11898,0
7/1/96 12:00 AM,3.73664,0
10/1/96 12:00 AM,-0.96294,0
1/1/97 12:00 AM,1.03609,0
4/1/97 12:00 AM,0.56903,0
7/1/97 12:00 AM,1.2373,0
10/1/97 12:00 AM,0.83146,0
1/1/98 12:00 AM,-1.95423,0
4/1/98 12:00 AM,1.66601,0
7/1/98 12:00 AM,0.00162,0
10/1/98 12:00 AM,-1.1537,0
1/1/99 12:00 AM,0.19988,0
4/1/99 12:00 AM,0.49769,0
7/1/99 12:00 AM,0.0157,0
10/1/99 12:00 AM,1.41285,0
1/1/00 12:00 AM,1.06993,0
4/1/00 12:00 AM,1.39152,0
7/1/00 12:00 AM,1.19151,0
10/1/00 12:00 AM,1.22114,0
1/1/01 12:00 AM,0.37457,0
4/1/01 12:00 AM,-0.4969,0
7/1/01 12:00 AM,-0.51329,0
10/1/01 12:00 AM,-0.2932,0
1/1/02 12:00 AM,2.42246,0
4/1/02 12:00 AM,0.36199,0
7/1/02 12:00 AM,1.32215,0
10/1/02 12:00 AM,1.01113,0
1/1/03 12:00 AM,-0.42218,0
4/1/03 12:00 AM,-0.84501,0
7/1/03 12:00 AM,0.92205,0
10/1/03 12:00 AM,1.03902,0
1/1/04 12:00 AM,1.40595,0
4/1/04 12:00 AM,2.76295,0
7/1/04 12:00 AM,1.23367,0
10/1/04 12:00 AM,0.77044,0
1/1/05 12:00 AM,0.8447,0
4/1/05 12:00 AM,1.19185,0
7/1/05 12:00 AM,-0.6816,0
10/1/05 12:00 AM,1.27706,0
1/1/06 12:00 AM,1.67174,0
4/1/06 12:00 AM,0.28402,0
7/1/06 12:00 AM,1.6212,0
10/1/06 12:00 AM,1.196,0
1/1/07 12:00 AM,1.93261,0
4/1/07 12:00 AM,1.63687,0
7/1/07 12:00 AM,1.00212,0
10/1/07 12:00 AM,1.54753,0
1/1/08 12:00 AM,1.23074,0
4/1/08 12:00 AM,2.11585,0
7/1/08 12:00 AM,1.55772,0
10/1/08 12:00 AM,-3.75931,0
1/1/09 12:00 AM,-1.39766,0
4/1/09 12:00 AM,1.79156,0
7/1/09 12:00 AM,2.34721,0
10/1/09 12:00 AM,2.57416,0
1/1/10 12:00 AM,2.10825,0
4/1/10 12:00 AM,1.22698,0
7/1/10 12:00 AM,0.89467,0
10/1/10 12:00 AM,1.41387,0
1/1/11 12:00 AM,1.38792,0
4/1/11 12:00 AM,0.97005,0
7/1/11 12:00 AM,-0.20814,0
10/1/11 12:00 AM,0.88529,0
1/1/12 12:00 AM,-1.38314,0
4/1/12 12:00 AM,1.77389,0
7/1/12 12:00 AM,1.73232,0
10/1/12 12:00 AM,0.0135,0
1/1/13 12:00 AM,0.49543,0
4/1/13 12:00 AM,1.49882,1
7/1/13 12:00 AM,0.42279,0
10/1/13 12:00 AM,0.14305,0
1/1/14 12:00 AM,0.85772,0
4/1/14 12:00 AM,-1.49674,1
7/1/14 12:00 AM,-0.03511,1
10/1/14 12:00 AM,0.51495,0
1/1/15 12:00 AM,-0.786,1
4/1/15 12:00 AM,-2.38334,1
7/1/15 12:00 AM,-1.60984,1
10/1/15 12:00 AM,-0.78396,1
1/1/16 12:00 AM,-1.50123,1
4/1/16 12:00 AM,0.38574,1
7/1/16 12:00 AM,-0.55945,1
10/1/16 12:00 AM,-0.15678,1
1/1/17 12:00 AM,1.10534,1
4/1/17 12:00 AM,0.76337,0
7/1/17 12:00 AM,0.25606,0
10/1/17 12:00 AM,0.44076,0
1/1/18 12:00 AM,0.68797,0
4/1/18 12:00 AM,-0.09081,0
7/1/18 12:00 AM,0.94585,0
10/1/18 12:00 AM,-0.30512,0
1/1/19 12:00 AM,0.76612,0
4/1/19 12:00 AM,0.43399,1
7/1/19 12:00 AM,-0.02118,1
10/1/19 12:00 AM,0.40761,0
1/1/20 12:00 AM,-2.24214,0
4/1/20 12:00 AM,-9.16333,1
7/1/20 12:00 AM,7.76391,1
10/1/20 12:00 AM,3.22444,0
1/1/21 12:00 AM,1.20231,1
