DATE,COLBCAGDPBP6
1980-01-01,-0.032
1981-01-01,-3.4
1982-01-01,-5.32
1983-01-01,-5.243
1984-01-01,-3.922
1985-01-01,-3.287
1986-01-01,1.1
1987-01-01,-0.041
1988-01-01,-0.394
1989-01-01,-0.366
1990-01-01,0.97
1991-01-01,4.051
1992-01-01,1.277
1993-01-01,-2.859
1994-01-01,-3.761
1995-01-01,-4.161
1996-01-01,-3.999
1997-01-01,-4.513
1998-01-01,-4.128
1999-01-01,0.651
2000-01-01,0.852
2001-01-01,-1.066
2002-01-01,-1.325
2003-01-01,-1.017
2004-01-01,-0.708
2005-01-01,-1.286
2006-01-01,-1.809
2007-01-01,-2.945
2008-01-01,-2.639
2009-01-01,-1.988
2010-01-01,-3.079
2011-01-01,-2.959
2012-01-01,-3.14
2013-01-01,-3.294
2014-01-01,-5.307
2015-01-01,-6.577
2016-01-01,-4.521
2017-01-01,-3.444
2018-01-01,-4.081
2019-01-01,-4.417
2020-01-01,-3.346
2021-01-01,-3.764
2022-01-01,-3.862
2023-01-01,-3.929
2024-01-01,-3.93
2025-01-01,-3.913
2026-01-01,-3.876
