DATE,FXRATECOA618NUPN
1950-01-01,1.949824147
1951-01-01,2.400552856
1952-01-01,2.510486251
1953-01-01,2.510486251
1954-01-01,2.510486251
1955-01-01,2.510486251
1956-01-01,2.510486251
1957-01-01,3.797710918
1958-01-01,6.401141173
1959-01-01,6.401141173
1960-01-01,6.635000229
1961-01-01,6.699999809
1962-01-01,6.901207924
1963-01-01,9
1964-01-01,9
1965-01-01,10.47500038
1966-01-01,13.5
1967-01-01,14.50638962
1968-01-01,16.29067039
1969-01-01,17.32014084
1970-01-01,18.4431
1971-01-01,19.93193333
1972-01-01,21.86564167
1973-01-01,23.63698333
1974-01-01,26.064125
1975-01-01,30.92894167
1976-01-01,34.693925
1977-01-01,36.77486667
1978-01-01,39.09464167
1979-01-01,42.549775
1980-01-01,47.28030833
1981-01-01,54.49055
1982-01-01,64.08471667
1983-01-01,78.8543
1984-01-01,100.8172417
1985-01-01,142.3116667
1986-01-01,194.2614167
1987-01-01,242.6075
1988-01-01,299.1738333
1989-01-01,382.5680833
1990-01-01,502.25925
1991-01-01,633.0451667
1992-01-01,759.282
1993-01-01,863.0646833
1994-01-01,844.83589
1995-01-01,912.826415
1996-01-01,1036.686417
1997-01-01,1140.962942
1998-01-01,1426.037458
1999-01-01,1756.230848
2000-01-01,2087.903842
2001-01-01,2299.633156
2002-01-01,2504.241331
2003-01-01,2877.652458
2004-01-01,2628.612903
2005-01-01,2320.834177
2006-01-01,2361.139408
2007-01-01,2078.291837
2008-01-01,1967.711309
2009-01-01,2166.79207
2010-01-01,1898.569636
