DATE,COLNGDPRPCH
1980-01-01,4.429
1981-01-01,2.277
1982-01-01,0.948
1983-01-01,1.574
1984-01-01,3.351
1985-01-01,3.107
1986-01-01,5.824
1987-01-01,5.369
1988-01-01,4.064
1989-01-01,3.414
1990-01-01,4.282
1991-01-01,2.372
1992-01-01,4.353
1993-01-01,5.71
1994-01-01,5.147
1995-01-01,5.202
1996-01-01,2.056
1997-01-01,3.43
1998-01-01,0.57
1999-01-01,-4.204
2000-01-01,2.925
2001-01-01,1.678
2002-01-01,2.504
2003-01-01,3.918
2004-01-01,5.333
2005-01-01,4.707
2006-01-01,6.717
2007-01-01,6.738
2008-01-01,3.283
2009-01-01,1.14
2010-01-01,4.494
2011-01-01,6.948
2012-01-01,3.913
2013-01-01,5.134
2014-01-01,4.499
2015-01-01,2.956
2016-01-01,2.087
2017-01-01,1.359
2018-01-01,2.564
2019-01-01,3.281
2020-01-01,-6.847
2021-01-01,5.15
2022-01-01,3.617
2023-01-01,3.953
2024-01-01,3.845
2025-01-01,3.845
2026-01-01,3.645
