DATE,ECUBCAGDPBP6
1980-01-01,-3.81
1981-01-01,-5.788
1982-01-01,-6.866
1983-01-01,-0.76
1984-01-01,-1.696
1985-01-01,0.404
1986-01-01,-4.212
1987-01-01,-9.194
1988-01-01,-5.539
1989-01-01,-5.934
1990-01-01,-2.942
1991-01-01,-5.157
1992-01-01,-0.813
1993-01-01,-4.841
1994-01-01,-4.248
1995-01-01,-4.354
1996-01-01,-0.228
1997-01-01,-1.691
1998-01-01,-7.638
1999-01-01,4.651
2000-01-01,6.074
2001-01-01,-2.253
2002-01-01,-4.27
2003-01-01,-1.193
2004-01-01,-1.31
2005-01-01,1.142
2006-01-01,3.718
2007-01-01,3.698
2008-01-01,2.865
2009-01-01,0.501
2010-01-01,-2.275
2011-01-01,-0.505
2012-01-01,-0.167
2013-01-01,-0.981
2014-01-01,-0.657
2015-01-01,-2.237
2016-01-01,1.116
2017-01-01,-0.143
2018-01-01,-1.235
2019-01-01,-0.049
2020-01-01,0.516
2021-01-01,1.858
2022-01-01,1.969
2023-01-01,1.896
2024-01-01,1.976
2025-01-01,1.874
2026-01-01,1.392
