DATE,PRYBCAGDPBP6
1980-01-01,-6.765
1981-01-01,-7.156
1982-01-01,-6.852
1983-01-01,-4.085
1984-01-01,-6.436
1985-01-01,-5.972
1986-01-01,-7.251
1987-01-01,-11.617
1988-01-01,-3.764
1989-01-01,6.318
1990-01-01,7.846
1991-01-01,2.46
1992-01-01,0.37
1993-01-01,2.16
1994-01-01,-2.04
1995-01-01,-2.399
1996-01-01,-0.707
1997-01-01,-5.506
1998-01-01,1.425
1999-01-01,1.569
2000-01-01,-2.791
2001-01-01,-0.376
2002-01-01,8.613
2003-01-01,0.221
2004-01-01,-0.102
2005-01-01,-0.629
2006-01-01,1.249
2007-01-01,4.363
2008-01-01,0.812
2009-01-01,2.702
2010-01-01,0.182
2011-01-01,0.593
2012-01-01,-0.859
2013-01-01,1.604
2014-01-01,-0.126
2015-01-01,-0.401
2016-01-01,3.62
2017-01-01,3.113
2018-01-01,0.022
2019-01-01,-0.601
2020-01-01,1.569
2021-01-01,0.7
2022-01-01,0.046
2023-01-01,0.822
2024-01-01,0.693
2025-01-01,0.573
2026-01-01,0.119
